id,name,description
product_text_module#1351,TOP TURBO VERSANDKOSTEN,"ACHTUNG ! IMMER 19.90 EUR VERSANDKOSTEN VERRECHNEN!
INTERNE NUMMER  1950001
............................................................
"
product_text_module#255001,KEIN GEFAHRGUT,"** KEIN GEFAHRGUT NACH ADR **
"
product_text_module#67,PHILIPS RALLY,"*** LT. StVZO NICHT ZUGELASSEN ***
      ***  NUR FÜR MOTORSPORT  ***
"
product_text_module#3,HYGIENE-ARTIKEL KEINE RÜCKGABE MÖGLICH,"DIESER HYGIENE-ARTIKEL IST VON DER RÜCKGABE
UND DEM UMTAUSCH AUSGESCHLOSSEN.
"
product_text_module#3333,HEBEBÜHNEN UVV UND ERSTINBETRIEBNAHME,"BEI EIGENMONTAGE UND BAULICHEN VERÄNDERUNGEN ERLISCHT DER
GARANTIE- UND GEWÄHRLEISTUNGSANSPRUCH IHRER HEBEBÜHNE.
EINE ERSTINBETRIEBNAHME BEI EIGENMONTAGE IST NICHT MÖGLICH.
DIE UVV ABNAHME KANN NUR MIT DEM RICHTIGEN PRÜFBUCH ERFOLGEN
EMPFEHLUNG: LASSEN SIE HEBEBÜHNEN ODER ÄHNLICHE GERÄTE
IMMER VON EINEM GESCHULTEN SERVICE-TECHNIKER MONTIEREN!
"
product_text_module#119120,Textbaustein 119120,"INHALT: 12 DOSEN   71450 KLIMAFRESH & CLEAN         150 ML
        12 DOSEN   71460 KLIMAFRESH & CLEAN ORANGE  150 ML
        12 DOSEN   71470 KLIMAFRESH & CLEAN VANILLE 150 ML
............................................................
"
product_text_module#5958,HINWEIS: RÜCKGABE GEBRAUCHT ERSATZTEILE,"HINWEIS: ELEKTRONISCHE UND HYDRAULISCHE ERSATZTEILE DÜRFEN
NICHT ZUR FEHLERSUCHE VERWENDET WERDEN. BEREITS VERBAUTE BZW
GEBRAUCHTE ERSATZTEILE,SIND VON DER RÜCKGABE AUSGESCHLOSSEN.
EINBAU VON ERSATZTEILEN NUR DURCH GESCHULTES FACHPERSONAL.
"
product_text_module#328520,KLINGSPOR BOX,"ACHTUNG: PREIS PRO STÜCK / 1 BOX = MENGE 25
____________________________________________________________
"
product_text_module#21,FUCHS FEDERN,"*** EMPFEHLUNG ***
    FÜR EINE KORREKTE FAHRDYNAMISCHE EIGENSCHAFT SIND
       FAHRWERKSFEDERN IMMER ACHSWEISE ZU ERNEUERN !
"
product_text_module#1174,RDKS CUB SENSOR PROGRAMIERUNGS HINWEIS,"WIR ÜBERNEHMEN KEINE HAFTUNG FÜR MONTAGE- ODER DATENFEHLER
PROGRAMMIERUNG UNTER VORBEHALT DER RICHTIGEN FAHRZEUGDATEN
"
product_text_module#20579,"CORONTATEST, ANTIGENTEST HINWEIS","WIR ÜBERNEHMEN KEINE HAFTUNG FÜR DAS ERGEBNIS.
CORONA LAIENTEST, SELBSTTEST FÜR ZUHAUSE.
BIETET KEINE 100 %IGE SICHERHEIT.
ANWENDUNGSHINWEISE SIND STRIKT ZU BEACHTEN.
"
product_text_module#180001,CRC PUMPSPRÜHER,"ACHTUNG! BRÄKLEEN BREMSENREINIGER AUSSCHLIESLICH MIT
         MIT DER ORIGINAL CRC PUMP SPRAY BOTTLE 1 LTR.
         VERWENDEN. (CRC NR. 30463-AE)
............................................................
"
